transaction_id,amount,failure_reason,payment_method,customer_type,attempts,previous_success_rate,previous_failed_payments,customer_tenure_months,hours_since_failure,recovered
TXN00043,6858,technical_error,debit_card,new,1,0.96,6,12,53,1
TXN00044,12267,bank_decline,net_banking,loyal,3,0.85,2,11,14,1
TXN00045,834,card_expired,debit_card,new,2,0.54,6,51,30,0
TXN00046,11013,insufficient_funds,net_banking,regular,2,0.89,6,18,45,0
TXN00047,6748,technical_error,upi,new,1,0.9,2,12,34,1
TXN00048,9974,card_expired,upi,loyal,2,0.6,4,8,50,0
TXN00049,3314,bank_decline,credit_card,loyal,2,0.3,6,35,26,0
TXN00050,1346,bank_decline,upi,loyal,1,0.79,2,33,40,0
TXN00051,5544,card_expired,upi,loyal,1,0.43,5,25,23,0
TXN00052,5130,card_expired,credit_card,regular,2,0.44,6,38,42,0
TXN00053,7444,insufficient_funds,net_banking,loyal,1,0.75,2,33,43,1
TXN00054,12506,insufficient_funds,upi,new,1,0.4,0,16,61,0
TXN00055,12790,network_error,net_banking,regular,3,0.69,5,45,50,0
TXN00056,4197,insufficient_funds,credit_card,new,2,0.45,6,45,67,0
TXN00057,9332,insufficient_funds,credit_card,regular,1,0.84,5,34,72,0
TXN00058,12574,card_expired,net_banking,loyal,2,0.91,5,56,61,0
TXN00059,12517,insufficient_funds,upi,loyal,2,0.73,2,29,10,0
TXN00060,4041,bank_decline,upi,regular,3,0.35,1,15,50,0
TXN00061,11773,insufficient_funds,credit_card,regular,2,0.52,3,27,8,1
TXN00062,7083,card_expired,credit_card,loyal,2,0.62,2,20,50,0
TXN00063,13892,card_expired,debit_card,regular,1,0.49,3,2,50,0
TXN00064,11327,card_expired,debit_card,regular,1,0.97,4,2,51,0
TXN00065,11062,network_error,credit_card,loyal,2,0.39,3,12,7,1
TXN00066,5563,insufficient_funds,net_banking,regular,2,0.82,3,18,54,1
TXN00067,1541,card_expired,credit_card,loyal,3,0.34,2,15,9,0
TXN00068,10878,network_error,credit_card,new,1,0.87,4,10,31,1
TXN00069,11168,network_error,debit_card,regular,3,0.47,2,11,15,0
TXN00070,2883,bank_decline,credit_card,loyal,1,0.93,4,44,49,1
TXN00071,11914,insufficient_funds,credit_card,loyal,3,0.86,1,7,39,0
TXN00072,10037,network_error,credit_card,regular,3,0.59,2,5,65,0
TXN00073,407,card_expired,net_banking,new,2,0.95,5,58,59,0
TXN00074,7335,insufficient_funds,upi,loyal,3,0.83,3,28,35,1
TXN00075,4222,network_error,upi,regular,1,0.81,4,40,49,1
TXN00076,8298,bank_decline,debit_card,regular,1,0.54,2,22,36,0
TXN00077,11688,bank_decline,credit_card,loyal,1,0.36,5,27,63,0
TXN00078,4137,card_expired,net_banking,regular,1,0.36,1,26,32,0
TXN00079,9728,bank_decline,net_banking,loyal,3,0.53,5,36,43,0
TXN00080,7634,bank_decline,upi,regular,1,0.38,1,21,16,0
TXN00081,12687,insufficient_funds,debit_card,new,3,0.63,5,38,68,0
TXN00082,1847,insufficient_funds,upi,new,2,0.42,0,46,69,1
TXN00083,945,network_error,upi,loyal,1,0.73,6,32,14,0
TXN00084,9605,bank_decline,net_banking,regular,2,0.53,0,17,62,1
TXN00085,1270,card_expired,net_banking,new,3,0.73,0,10,20,0
TXN00086,5178,network_error,debit_card,new,3,0.82,4,39,29,0
TXN00087,6432,card_expired,net_banking,regular,3,0.97,2,37,8,0
TXN00088,12325,network_error,debit_card,loyal,1,0.48,0,11,31,1
TXN00089,1429,insufficient_funds,credit_card,regular,2,0.77,3,19,5,1
TXN00090,11782,bank_decline,net_banking,new,3,0.46,2,51,26,0
TXN00091,9122,insufficient_funds,debit_card,regular,1,0.35,1,51,40,0
TXN00092,13704,technical_error,upi,regular,1,0.62,2,45,52,0
TXN00093,8399,technical_error,net_banking,regular,1,0.71,3,48,42,1
TXN00094,623,network_error,debit_card,loyal,3,0.7,0,49,35,1
TXN00095,12702,insufficient_funds,net_banking,loyal,3,0.6,2,12,56,0
TXN00096,8256,network_error,net_banking,regular,2,0.53,5,7,21,1
TXN00097,11565,card_expired,upi,loyal,2,0.85,4,3,59,1
TXN00098,4335,bank_decline,credit_card,regular,3,0.86,0,43,70,0
TXN00099,1088,insufficient_funds,upi,loyal,2,0.73,6,4,27,1
TXN00100,2346,bank_decline,net_banking,loyal,2,0.38,5,39,31,0
TXN00101,5291,technical_error,credit_card,loyal,2,0.36,6,59,15,0
TXN00102,2124,insufficient_funds,net_banking,loyal,2,0.65,2,27,62,0
TXN00103,4193,card_expired,debit_card,regular,1,0.93,4,48,18,0
TXN00104,4726,card_expired,upi,loyal,2,0.86,2,47,39,0
TXN00105,9701,card_expired,debit_card,regular,3,0.63,2,36,70,0
TXN00106,5472,insufficient_funds,debit_card,loyal,2,0.46,6,27,6,0
TXN00107,7949,card_expired,net_banking,loyal,3,0.97,3,3,17,0
TXN00108,9869,bank_decline,credit_card,regular,1,0.66,3,1,19,0
TXN00109,10927,insufficient_funds,credit_card,regular,2,0.53,5,26,11,0
TXN00110,14164,technical_error,net_banking,regular,3,0.79,6,32,70,1
TXN00111,1321,insufficient_funds,upi,new,3,0.36,0,49,13,0
TXN00112,11570,bank_decline,credit_card,new,2,0.84,2,23,48,0
TXN00113,4200,technical_error,net_banking,loyal,3,0.84,1,12,11,1
TXN00114,6467,technical_error,debit_card,regular,3,0.4,3,41,33,0
TXN00115,11125,network_error,net_banking,regular,3,0.67,0,29,45,0
TXN00116,5101,card_expired,upi,regular,2,0.44,3,55,62,0
TXN00117,6448,technical_error,upi,loyal,2,0.98,2,2,51,1
TXN00118,9472,network_error,net_banking,regular,1,0.71,2,15,25,1
TXN00119,11304,insufficient_funds,credit_card,loyal,3,0.33,6,29,5,0
TXN00120,12198,insufficient_funds,credit_card,regular,2,0.81,1,13,17,0
TXN00121,14559,bank_decline,upi,new,2,0.92,3,52,38,0
TXN00122,5749,network_error,net_banking,new,1,0.81,1,56,51,0
TXN00123,13382,technical_error,upi,new,2,0.31,4,8,59,0
TXN00124,12471,bank_decline,net_banking,loyal,2,0.37,1,31,4,0
TXN00125,9398,bank_decline,debit_card,loyal,1,0.73,3,59,39,0
TXN00126,2111,insufficient_funds,credit_card,new,2,0.98,0,7,31,0
TXN00127,2422,card_expired,net_banking,regular,3,0.95,5,35,54,0
TXN00128,12104,insufficient_funds,net_banking,loyal,1,0.87,4,27,36,1
TXN00129,6270,insufficient_funds,net_banking,regular,1,0.88,0,44,48,1
TXN00130,10764,bank_decline,credit_card,regular,2,0.43,0,55,59,1
TXN00131,3675,technical_error,credit_card,new,2,0.47,1,51,27,1
TXN00132,12736,technical_error,debit_card,loyal,1,0.85,1,22,19,1
TXN00133,9964,network_error,upi,new,1,0.67,6,12,15,0
TXN00134,622,insufficient_funds,credit_card,regular,1,0.7,0,12,34,1
TXN00135,12352,card_expired,credit_card,loyal,1,0.62,6,24,66,0
TXN00136,7605,technical_error,debit_card,loyal,1,0.79,6,43,67,1
TXN00137,10740,network_error,credit_card,regular,2,0.59,0,32,57,1
TXN00138,1523,bank_decline,debit_card,new,1,0.49,5,38,71,0
TXN00139,6440,technical_error,upi,regular,3,0.71,0,51,15,0
TXN00140,10864,technical_error,debit_card,regular,2,0.9,3,22,59,1
TXN00141,12153,network_error,upi,regular,2,0.75,2,10,61,1
TXN00142,13827,network_error,credit_card,regular,1,0.81,2,52,17,1
TXN00143,9808,technical_error,upi,loyal,1,0.58,6,43,55,0
TXN00144,12013,network_error,upi,loyal,2,0.54,4,33,28,1
TXN00145,8100,insufficient_funds,credit_card,regular,3,0.55,6,18,29,0
TXN00146,14047,technical_error,credit_card,loyal,3,0.86,2,2,24,1
TXN00147,12691,bank_decline,upi,regular,1,0.42,1,37,52,1
TXN00148,12340,network_error,credit_card,loyal,3,0.45,3,30,44,1
TXN00149,5305,bank_decline,credit_card,new,1,0.41,4,4,11,0
TXN00150,11045,card_expired,net_banking,loyal,2,0.58,1,49,66,1
TXN00151,7243,network_error,upi,loyal,3,0.7,4,43,40,1
TXN00152,6675,technical_error,credit_card,new,1,0.5,1,50,18,0
TXN00153,4942,bank_decline,credit_card,new,2,0.81,1,9,49,0
TXN00154,3970,technical_error,upi,new,2,0.89,0,28,3,1
TXN00155,1475,bank_decline,net_banking,loyal,2,0.78,3,19,15,0
TXN00156,5521,insufficient_funds,net_banking,loyal,2,0.36,6,7,32,0
TXN00157,6760,technical_error,credit_card,regular,2,0.81,1,22,22,1
TXN00158,10574,network_error,debit_card,regular,2,0.79,6,42,19,1
TXN00159,2599,bank_decline,debit_card,new,3,0.4,6,42,10,0
TXN00160,12862,card_expired,net_banking,loyal,3,0.61,4,42,42,0
TXN00161,10476,bank_decline,debit_card,regular,1,0.62,5,20,36,0
TXN00162,5966,technical_error,credit_card,regular,2,0.61,0,24,37,1
TXN00163,14359,network_error,net_banking,regular,3,0.68,6,48,6,0
TXN00164,13468,technical_error,debit_card,regular,3,0.62,1,4,58,1
TXN00165,14931,bank_decline,credit_card,loyal,3,0.42,1,46,57,0
TXN00166,8786,technical_error,debit_card,regular,2,0.92,3,27,44,0
TXN00167,1057,bank_decline,credit_card,regular,1,0.68,3,19,33,0
TXN00168,10957,technical_error,debit_card,regular,1,0.7,1,59,45,1
TXN00169,10948,card_expired,debit_card,loyal,3,0.94,2,36,49,0
TXN00170,5581,insufficient_funds,credit_card,loyal,3,0.59,2,2,47,0
TXN00171,3709,bank_decline,net_banking,new,1,0.98,1,5,38,0
TXN00172,1857,technical_error,credit_card,loyal,2,0.9,4,9,49,1
TXN00173,3162,technical_error,debit_card,loyal,2,0.33,2,44,31,0
TXN00174,10203,bank_decline,net_banking,new,3,0.46,6,51,61,0
TXN00175,3378,bank_decline,net_banking,regular,2,0.83,4,34,54,0
TXN00176,13583,insufficient_funds,debit_card,regular,1,0.74,6,24,71,0
TXN00177,11855,technical_error,credit_card,regular,1,0.82,2,29,66,1
TXN00178,7367,network_error,debit_card,regular,2,0.93,3,4,51,1
TXN00179,4062,card_expired,credit_card,regular,1,0.32,0,54,43,0
TXN00180,2454,network_error,upi,regular,3,0.87,6,46,61,1
TXN00181,286,network_error,credit_card,regular,1,0.87,4,47,68,1
TXN00182,12916,bank_decline,debit_card,regular,1,0.33,3,41,59,1
TXN00183,13908,card_expired,credit_card,loyal,3,0.69,5,10,38,0
TXN00184,10273,bank_decline,debit_card,loyal,2,0.43,5,6,68,0
TXN00185,1308,technical_error,credit_card,regular,2,0.33,3,24,33,0
TXN00186,6050,network_error,upi,new,3,0.75,0,50,43,1
TXN00187,5972,technical_error,upi,loyal,1,0.86,5,30,62,1
TXN00188,13495,insufficient_funds,credit_card,loyal,2,0.33,1,3,26,0
TXN00189,5370,bank_decline,net_banking,loyal,2,0.47,6,42,25,0
TXN00190,14325,network_error,upi,regular,1,0.84,3,57,52,1
TXN00191,14857,card_expired,upi,new,2,0.77,2,60,67,0
TXN00192,1553,card_expired,credit_card,regular,3,0.98,1,35,38,1
TXN00193,1511,bank_decline,upi,regular,2,0.71,3,11,57,0
TXN00194,893,bank_decline,net_banking,regular,3,0.97,0,5,52,1
TXN00195,13325,insufficient_funds,credit_card,new,3,0.76,3,3,17,1
TXN00196,12955,bank_decline,upi,regular,3,0.32,1,44,58,0
TXN00197,6295,card_expired,credit_card,loyal,1,0.66,3,21,36,1
TXN00198,2058,network_error,debit_card,regular,3,0.56,4,8,34,0
TXN00199,11734,card_expired,debit_card,loyal,2,0.77,3,13,16,1
TXN00200,1413,card_expired,debit_card,loyal,2,0.98,6,44,41,0
TXN00201,11825,network_error,upi,regular,1,0.78,5,41,23,0
TXN00202,8535,insufficient_funds,credit_card,new,1,0.46,3,2,47,0
TXN00203,6244,card_expired,debit_card,loyal,1,0.34,3,46,62,0
TXN00204,12801,card_expired,credit_card,new,2,0.74,3,30,67,0
TXN00205,14584,technical_error,debit_card,new,2,0.64,6,4,16,0
TXN00206,5182,insufficient_funds,debit_card,regular,3,0.45,4,58,37,0
TXN00207,4305,insufficient_funds,upi,new,3,0.51,4,6,65,0
TXN00208,9896,technical_error,debit_card,new,3,0.72,4,22,6,0
TXN00209,664,network_error,credit_card,loyal,3,0.48,1,50,54,0
TXN00210,696,card_expired,upi,loyal,2,0.63,6,52,52,0
TXN00211,1395,network_error,debit_card,regular,2,0.63,1,22,19,1
TXN00212,11969,bank_decline,upi,regular,1,0.82,4,36,14,1
TXN00213,7842,network_error,upi,regular,1,0.4,0,19,50,0
TXN00214,7050,insufficient_funds,debit_card,regular,3,0.79,1,49,21,0
TXN00215,8633,card_expired,net_banking,regular,2,0.32,3,33,59,0
TXN00216,3724,technical_error,upi,new,1,0.49,4,57,61,1
TXN00217,333,network_error,net_banking,new,2,0.79,6,26,47,1
TXN00218,1038,technical_error,debit_card,regular,3,0.5,3,33,58,0
TXN00219,4782,technical_error,credit_card,new,1,0.57,6,22,72,0
TXN00220,12569,insufficient_funds,debit_card,loyal,3,0.57,0,3,5,1
TXN00221,5656,card_expired,net_banking,new,3,0.91,1,21,41,1
TXN00222,10300,bank_decline,upi,loyal,3,0.66,5,37,39,0
TXN00223,472,bank_decline,upi,loyal,1,0.97,4,20,4,0
TXN00224,4550,technical_error,debit_card,loyal,1,0.7,1,34,49,1
TXN00225,11353,insufficient_funds,credit_card,loyal,3,0.37,0,29,41,0
TXN00226,6965,insufficient_funds,net_banking,loyal,3,0.93,6,55,8,0
TXN00227,8698,insufficient_funds,upi,loyal,2,0.66,2,12,59,0
TXN00228,5808,technical_error,upi,loyal,3,0.76,6,45,34,0
TXN00229,3350,insufficient_funds,upi,loyal,2,0.45,2,50,37,0
TXN00230,11508,card_expired,upi,regular,2,0.68,6,47,36,0
TXN00231,9595,technical_error,net_banking,regular,2,0.95,6,10,38,1
TXN00232,11900,network_error,upi,regular,3,0.47,3,14,26,0
TXN00233,4642,technical_error,upi,new,1,0.72,4,16,32,1
TXN00234,8900,insufficient_funds,debit_card,new,1,0.58,5,31,13,0
TXN00235,2452,network_error,debit_card,regular,3,0.94,3,31,26,0
TXN00236,4906,bank_decline,upi,loyal,1,0.92,0,42,30,1
TXN00237,12047,network_error,debit_card,regular,1,0.94,0,54,51,1
TXN00238,3252,bank_decline,credit_card,new,2,0.69,0,60,43,1
TXN00239,10707,technical_error,net_banking,new,3,0.62,1,52,15,1
TXN00240,12178,card_expired,upi,loyal,1,0.31,2,51,38,0
TXN00241,12607,insufficient_funds,debit_card,loyal,3,0.91,6,28,66,0
TXN00242,6767,network_error,debit_card,new,2,0.52,1,1,34,1
TXN00243,7519,bank_decline,upi,regular,3,0.79,0,17,47,0
TXN00244,1217,network_error,net_banking,regular,1,0.58,4,60,40,0
TXN00245,10664,bank_decline,upi,loyal,1,0.45,1,31,20,0
TXN00246,10124,bank_decline,net_banking,loyal,3,0.92,6,35,28,0
TXN00247,11346,technical_error,credit_card,loyal,2,0.66,2,5,15,1
TXN00248,9172,technical_error,debit_card,loyal,3,0.4,2,55,67,1
TXN00249,11345,insufficient_funds,net_banking,new,3,0.6,0,30,17,0
TXN00250,7684,technical_error,credit_card,loyal,2,0.76,2,47,3,1
TXN00251,13576,network_error,debit_card,loyal,1,0.33,2,45,9,1
TXN00252,1187,network_error,net_banking,new,2,0.58,6,9,54,0
TXN00253,14803,card_expired,net_banking,regular,2,0.35,5,56,70,0
TXN00254,14294,bank_decline,credit_card,new,3,0.57,1,47,29,0
TXN00255,12589,network_error,upi,regular,3,0.79,3,35,49,0
TXN00256,4255,card_expired,upi,new,2,0.43,5,49,15,1
TXN00257,11016,card_expired,credit_card,new,1,0.35,4,3,58,0
TXN00258,11722,network_error,debit_card,loyal,1,0.57,1,35,28,1
TXN00259,12915,network_error,debit_card,loyal,2,0.46,5,37,41,0
TXN00260,12857,bank_decline,debit_card,regular,1,0.97,4,15,53,1
TXN00261,1198,technical_error,debit_card,loyal,3,0.59,3,4,45,0
TXN00262,11199,card_expired,upi,loyal,2,0.58,2,25,24,0
TXN00263,7958,insufficient_funds,debit_card,regular,3,0.4,3,59,8,0
TXN00264,7024,technical_error,debit_card,regular,1,0.47,2,42,11,0
TXN00265,14079,bank_decline,credit_card,loyal,3,0.86,0,18,49,0
TXN00266,10078,network_error,credit_card,new,3,0.79,4,14,62,1
TXN00267,5655,bank_decline,credit_card,new,1,0.95,0,48,62,0
TXN00268,11597,technical_error,debit_card,regular,1,0.68,6,19,49,1
TXN00269,10828,bank_decline,upi,regular,2,0.65,3,30,13,0
TXN00270,12036,card_expired,upi,new,2,0.51,0,37,29,0
TXN00271,465,bank_decline,net_banking,regular,1,0.43,1,25,32,0
TXN00272,10925,bank_decline,upi,regular,3,0.74,3,30,22,0
TXN00273,5970,insufficient_funds,debit_card,loyal,3,0.63,4,42,8,0
TXN00274,13947,network_error,credit_card,new,2,0.39,5,15,9,0
TXN00275,349,insufficient_funds,net_banking,regular,1,0.72,5,60,62,0
TXN00276,457,network_error,net_banking,new,1,0.66,2,35,37,1
TXN00277,13522,card_expired,debit_card,new,1,0.66,1,13,68,1
TXN00278,6007,bank_decline,net_banking,new,2,0.95,3,37,32,0
TXN00279,3900,bank_decline,credit_card,loyal,3,0.82,0,26,49,1
TXN00280,7998,network_error,credit_card,loyal,1,0.36,6,28,43,0
TXN00281,14256,network_error,credit_card,new,1,0.91,5,57,61,1
TXN00282,1418,bank_decline,credit_card,new,2,0.31,1,38,19,0
TXN00283,11877,card_expired,credit_card,regular,1,0.68,4,54,50,0
TXN00284,9056,bank_decline,net_banking,loyal,1,0.84,5,47,11,0
TXN00285,5866,network_error,credit_card,regular,1,0.87,2,39,51,0
TXN00286,5547,network_error,upi,regular,2,0.46,4,25,56,1
TXN00287,9798,card_expired,credit_card,loyal,2,0.84,5,5,11,1
TXN00288,6425,insufficient_funds,net_banking,regular,2,0.37,0,20,57,0
TXN00289,4619,network_error,debit_card,new,1,0.59,4,36,66,1
TXN00290,630,network_error,upi,loyal,1,0.71,6,21,50,1
TXN00291,6979,card_expired,credit_card,loyal,3,0.92,1,37,67,1
TXN00292,6437,insufficient_funds,debit_card,regular,2,0.48,1,5,22,0
TXN00293,7099,bank_decline,net_banking,new,2,0.47,1,47,64,0
TXN00294,3403,card_expired,credit_card,new,2,0.3,3,22,49,0
TXN00295,5599,card_expired,upi,regular,3,0.96,1,20,42,0
TXN00296,11591,insufficient_funds,net_banking,regular,1,0.96,2,19,63,0
TXN00297,13011,insufficient_funds,upi,regular,2,0.86,3,24,15,0
TXN00298,3473,technical_error,debit_card,loyal,3,0.32,5,30,27,0
TXN00299,4973,network_error,net_banking,loyal,2,0.39,2,16,33,0
TXN00300,11918,card_expired,net_banking,new,2,0.97,3,38,52,0
TXN00301,14448,card_expired,credit_card,regular,3,0.91,4,39,11,1
TXN00302,4267,bank_decline,debit_card,loyal,3,0.33,5,44,52,0
TXN00303,5632,card_expired,credit_card,new,1,0.48,4,48,67,0
TXN00304,11466,technical_error,debit_card,regular,2,0.57,6,44,65,1
TXN00305,602,card_expired,credit_card,regular,2,0.93,0,8,19,1
TXN00306,5820,card_expired,debit_card,loyal,2,0.54,0,29,58,1
TXN00307,5119,network_error,credit_card,new,2,0.74,5,52,22,0
TXN00308,12332,insufficient_funds,debit_card,loyal,1,0.53,3,30,30,0
TXN00309,10517,insufficient_funds,debit_card,loyal,3,0.59,0,48,26,0
TXN00310,7237,card_expired,credit_card,loyal,1,0.44,6,46,9,0
TXN00311,13299,technical_error,debit_card,regular,2,0.43,0,17,63,1
TXN00312,10671,bank_decline,net_banking,loyal,2,0.7,2,23,59,0
TXN00313,13532,bank_decline,credit_card,loyal,1,0.51,1,20,15,1
TXN00314,11561,insufficient_funds,net_banking,regular,3,0.39,3,28,24,0
TXN00315,9004,insufficient_funds,debit_card,regular,2,0.4,2,54,58,0
TXN00316,14380,bank_decline,credit_card,regular,1,0.43,3,36,65,0
TXN00317,6903,card_expired,net_banking,loyal,2,0.63,0,37,4,0
TXN00318,3813,bank_decline,credit_card,regular,1,0.67,1,50,59,0
TXN00319,12857,card_expired,credit_card,loyal,1,0.48,4,53,47,0
TXN00320,12599,network_error,net_banking,loyal,1,0.97,0,48,32,1
TXN00321,728,card_expired,upi,regular,1,0.6,0,50,31,1
TXN00322,12285,technical_error,upi,loyal,3,0.73,1,40,18,0
TXN00323,13528,insufficient_funds,credit_card,loyal,2,0.66,4,35,22,1
TXN00324,11735,bank_decline,upi,loyal,2,0.95,4,58,13,1
TXN00325,12489,card_expired,credit_card,regular,3,0.39,6,9,32,0
TXN00326,5477,insufficient_funds,net_banking,regular,1,0.69,2,41,54,1
TXN00327,1437,network_error,net_banking,loyal,3,0.49,2,30,63,1
TXN00328,240,network_error,net_banking,loyal,3,0.77,6,5,69,1
TXN00329,7239,insufficient_funds,net_banking,regular,2,0.86,2,36,17,0
TXN00330,8151,bank_decline,credit_card,new,1,0.73,6,30,3,1
TXN00331,14251,insufficient_funds,net_banking,regular,1,0.97,3,13,17,0
TXN00332,5145,insufficient_funds,upi,new,3,0.55,0,24,22,1
TXN00333,10449,bank_decline,debit_card,regular,3,0.36,0,1,28,0
TXN00334,2374,technical_error,debit_card,loyal,3,0.6,0,45,44,0
TXN00335,14295,card_expired,debit_card,regular,1,0.46,0,47,14,1
TXN00336,6222,bank_decline,debit_card,regular,1,0.74,5,10,9,0
TXN00337,338,technical_error,debit_card,regular,2,0.79,5,48,20,0
TXN00338,10293,card_expired,debit_card,new,1,0.4,0,38,50,0
TXN00339,7235,bank_decline,debit_card,new,2,0.74,1,36,37,0
TXN00340,11512,network_error,upi,new,3,0.71,1,48,51,1
TXN00341,1094,insufficient_funds,net_banking,regular,1,0.46,5,39,10,0
TXN00342,397,bank_decline,upi,new,2,0.89,4,27,47,0
TXN00343,3030,card_expired,credit_card,new,3,0.35,2,14,6,0
TXN00344,13131,card_expired,upi,loyal,3,0.64,3,28,52,1
TXN00345,8991,technical_error,debit_card,regular,1,0.51,4,59,27,0
TXN00346,2745,technical_error,upi,regular,3,0.73,6,42,9,1
TXN00347,7367,insufficient_funds,credit_card,new,1,0.93,0,30,8,1
TXN00348,12351,insufficient_funds,credit_card,new,3,0.39,0,11,64,0
TXN00349,8768,technical_error,upi,new,2,0.39,6,56,35,0
TXN00350,2134,network_error,upi,regular,2,0.66,2,46,10,1
TXN00351,8568,bank_decline,credit_card,regular,3,0.41,1,17,14,0
TXN00352,11244,network_error,debit_card,loyal,3,0.3,6,56,2,1
TXN00353,7929,bank_decline,net_banking,new,1,0.93,6,3,71,0
TXN00354,11898,card_expired,debit_card,regular,1,0.58,5,21,35,0
TXN00355,9564,bank_decline,credit_card,loyal,3,0.91,1,15,67,0
TXN00356,6768,network_error,net_banking,regular,2,0.52,4,30,2,1
TXN00357,4977,technical_error,upi,loyal,3,0.46,2,38,64,0
TXN00358,12912,insufficient_funds,debit_card,new,1,0.93,0,15,70,1
TXN00359,13955,network_error,upi,new,3,0.56,5,47,40,1
TXN00360,8880,insufficient_funds,net_banking,regular,1,0.96,1,46,36,1
TXN00361,3992,technical_error,net_banking,loyal,2,0.61,5,6,13,1
TXN00362,10640,card_expired,credit_card,loyal,3,0.34,5,9,31,0
TXN00363,14141,bank_decline,net_banking,loyal,3,0.52,3,18,30,1
TXN00364,3521,insufficient_funds,credit_card,new,1,0.41,3,21,53,1
TXN00365,6070,insufficient_funds,net_banking,regular,2,0.48,0,6,21,0
TXN00366,5184,technical_error,credit_card,new,2,0.4,5,16,46,0
TXN00367,1002,bank_decline,upi,new,1,0.95,6,29,72,0
TXN00368,4293,network_error,net_banking,new,1,0.38,0,54,29,1
TXN00369,13695,card_expired,upi,loyal,3,0.94,0,38,34,0
TXN00370,1428,network_error,credit_card,new,3,0.6,1,6,43,1
TXN00371,7752,network_error,debit_card,loyal,2,0.86,3,32,4,1
TXN00372,7190,insufficient_funds,upi,new,1,0.49,3,57,20,1
TXN00373,10344,technical_error,debit_card,loyal,2,0.64,4,31,8,1
TXN00374,6475,insufficient_funds,net_banking,new,3,0.9,4,16,70,0
TXN00375,6466,bank_decline,net_banking,loyal,2,0.53,4,33,42,0
TXN00376,3146,network_error,upi,loyal,1,0.32,6,50,36,1
TXN00377,7928,technical_error,upi,loyal,1,0.96,0,16,31,1
TXN00378,13574,network_error,debit_card,loyal,2,0.54,6,55,23,1
TXN00379,9907,bank_decline,upi,loyal,1,0.78,2,37,19,0
TXN00380,3284,card_expired,upi,new,2,0.33,0,15,29,1
TXN00381,8031,network_error,upi,loyal,1,0.85,2,46,23,0
TXN00382,14032,bank_decline,credit_card,new,1,0.7,1,50,15,0
TXN00383,14301,bank_decline,credit_card,regular,3,0.94,3,38,13,0
